pub1,pub2,similarity,n_comparisons
AintIAWoman,BigMammaRag,0.2406875342130661,9675
AintIAWoman,DoItNow,0.1941697597503662,3105
AintIAWoman,GoldFlower,0.21411462128162384,8685
BigMammaRag,AintIAWoman,0.2406875342130661,9675
BigMammaRag,DoItNow,0.20327815413475037,14835
BigMammaRag,GoldFlower,0.2189672887325287,41495
DoItNow,AintIAWoman,0.1941697597503662,3105
DoItNow,BigMammaRag,0.20327816903591156,14835
DoItNow,GoldFlower,0.18964356184005737,13317
GoldFlower,AintIAWoman,0.21411462128162384,8685
GoldFlower,BigMammaRag,0.2189672887325287,41495
GoldFlower,DoItNow,0.18964356184005737,13317
